Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
再见了，忍老师,7,https://img3.doubanio.com/view/subject/l/public/s32292163.jpg,https://book.douban.com/subject/30464974/,东野圭吾 , 王雪 ,南海出版公司 ,2019,45
毒笑小说,7.4,https://img3.doubanio.com/view/subject/l/public/s29841691.jpg,https://book.douban.com/subject/30242333/,东野圭吾 , 李盈春 ,北京十月文艺出版社 ,2018,49.5
怪笑小说,7.7,https://img3.doubanio.com/view/subject/l/public/s28283580.jpg,https://book.douban.com/subject/26599491/,东野圭吾 , 李盈春 ,南海出版公司 ,2015,29.5
天使之耳,6.9,https://img3.doubanio.com/view/subject/l/public/s32326952.jpg,https://book.douban.com/subject/30488942/,东野圭吾 , 朱田云 ,人民文学出版社 ,2019,59
变身,6.8,https://img1.doubanio.com/view/subject/l/public/s28879107.jpg,https://book.douban.com/subject/26831080/,东野圭吾 , 赵峻 ,南海出版公司 ,2016,35
神探伽利略的苦恼,7.3,https://img3.doubanio.com/view/subject/l/public/s27305516.jpg,https://book.douban.com/subject/25866559/,东野圭吾 , 袁斌 ,接力出版社 ,2014,24.8
单恋,7.6,https://img3.doubanio.com/view/subject/l/public/s29085641.jpg,https://book.douban.com/subject/26888804/,东野圭吾 , 赵峻 ,南海出版公司 ,2016,42
杀人之门,7.5,https://img3.doubanio.com/view/subject/l/public/s28118976.jpg,https://book.douban.com/subject/26273542/,东野圭吾 , 张智渊 ,南海出版公司 ,2015,39.5
伽利略的苦恼,7.2,https://img3.doubanio.com/view/subject/l/public/s8479775.jpg,https://book.douban.com/subject/6784975/,东野圭吾 , 袁斌 , 译林出版社 ,2011,25
侦探俱乐部,6.9,https://img3.doubanio.com/view/subject/l/public/s28119235.jpg,https://book.douban.com/subject/26298560/,东野圭吾 , 李盈春 ,南海出版公司 ,2015,32
白马山庄谜案,6.7,https://img3.doubanio.com/view/subject/l/public/s29881721.jpg,https://book.douban.com/subject/27181607/,东野圭吾 , 袁斌 ,人民文学出版社 ,2018,39
十一字杀人,6.5,https://img1.doubanio.com/view/subject/l/public/s9055738.jpg,https://book.douban.com/subject/10473360/,东野圭吾 , 叶娉 ,上海译文出版社 ,2012,24
黑笑小说,7.3,https://img3.doubanio.com/view/subject/l/public/s28300962.jpg,https://book.douban.com/subject/26613031/,东野圭吾 , 李盈春 ,南海出版公司 ,2015,32
绑架游戏,7.4,https://img1.doubanio.com/view/subject/l/public/s27775867.jpg,https://book.douban.com/subject/25968493/,东野圭吾 , 郑悦 ,上海译文出版社 ,2014,32
布谷鸟的蛋是谁的,6.4,https://img3.doubanio.com/view/subject/l/public/s28115556.jpg,https://book.douban.com/subject/26417171/,东野圭吾 , 马杰 ,新星出版社 ,2015,35
挑战,7,https://img3.doubanio.com/view/subject/l/public/s33318702.jpg,https://book.douban.com/subject/33437510/,东野圭吾 , 曹艺 ,人民文学出版社 ,2019,55
伽利略的苦恼,6.8,https://img3.doubanio.com/view/subject/l/public/s29452024.jpg,https://book.douban.com/subject/27041318/,东野圭吾 , 袁斌 ,北京十月文艺出版社 ,2017,45
怪人们,6.6,https://img3.doubanio.com/view/subject/l/public/s28317325.jpg,https://book.douban.com/subject/26438214/,东野圭吾 , 尹月 ,上海文艺出版社 ,2015,35
伽利略的苦恼,7.1,https://img1.doubanio.com/view/subject/l/public/s4392929.jpg,https://book.douban.com/subject/4753978/,东野圭吾 , 袁斌 ,当代世界出版社 ,2010,25
白马山庄杀人事件,6.7,https://img3.doubanio.com/view/subject/l/public/s28317334.jpg,https://book.douban.com/subject/26438216/,东野圭吾 , 袁斌 ,上海文艺出版社 ,2015,39
怪笑小说,7.5,https://img3.doubanio.com/view/subject/l/public/s29841662.jpg,https://book.douban.com/subject/30296025/,东野圭吾 , 李盈春 ,北京十月文艺出版社 ,2018,45
梦回都灵,4.4,https://img3.doubanio.com/view/subject/l/public/s28317336.jpg,https://book.douban.com/subject/26438213/,东野圭吾 , 赵秀娟 ,上海文艺出版社 ,2015,35
我杀了他,7.3,https://img3.doubanio.com/view/subject/l/public/s32313104.jpg,https://book.douban.com/subject/30317423/,东野圭吾 , 郑琳 ,南海出版公司 ,2019,55
